Country,Total_Medals,Population
China,993,1439323774
Denmark,597,5792203
Netherlands,1040,17134873
United States of America,5637,331002647
Finland,900,5540718
Norway,1033,5421242
Romania,653,19237682
Estonia,50,1326539
France,1777,65273512
Morocco,23,36910558
Spain,489,46754783
Egypt,27,102334403
Iran,68,83992953
Bulgaria,342,6948445
Italy,1637,60461828
Chad,0,16425859
Azerbaijan,44,10139175
Sudan,1,43849269
Russia,3947,145934460
Argentina,274,45195777
Cuba,409,11326616
Belarus,139,9449321
Greece,255,10423056
Cameroon,22,26545864
Turkey,95,84339067
Chile,32,19116209
Mexico,110,128932753
Nicaragua,0,6624554
Hungary,1135,9660350
Nigeria,99,206139587
Algeria,17,43851043
Kuwait,2,4270563
Bahrain,3,1701583
Pakistan,121,220892331
Iraq,1,40222503
Syria,5,17500657
Lebanon,4,6825442
Qatar,5,2881060
Malaysia,16,32365998
Germany,3756,83783945
Canada,1352,37742157
Ireland,35,4937796
Australia,1349,25499881
South Africa,131,59308690
Eritrea,1,3546427
Tanzania,2,56320000
Jordan,1,10203140
Tunisia,13,11818618
Libya,0,6871287
Belgium,468,11589616
Djibouti,1,988002
Palestine,0,4569000
Comoros,0,869595
Kazakhstan,77,18776707
Brunei,0,437479
India,197,1380004385
Saudi Arabia,6,34813867
Maldives,0,540542
Ethiopia,53,114963583
United Arab Emirates,2,9890400
Yemen,0,29825968
Indonesia,41,273523621
Philippines,10,109581085
Singapore,9,5850343
Uzbekistan,34,33469199
Kyrgyzstan,3,6524191
Tajikistan,4,9537642
Japan,913,126476458
Republic of Congo,0,5518092
Switzerland,691,8654618
Brazil,475,212559409
Monaco,1,39244
Israel,9,8655541
Uruguay,63,3473727
Sweden,1536,10099270
Virgin Islands,1,106977
Sri Lanka,2,21413250
Armenia,16,2963234
Ivory Coast,3,25070000
Kenya,106,53771300
Benin,0,12123198
Ukraine,199,43733759
United Kingdom,2068,67886004
Ghana,23,31072945
Somalia,0,15893219
Latvia,35,1886202
Niger,2,24206636
Mali,0,20250834
Afghanistan,2,38928341
Poland,565,37846605
Costa Rica,4,5094114
Panama,3,4314768
Georgia,32,3989175
Slovenia,48,2078932
Croatia,149,4105268
Guyana,1,786559
New Zealand,228,4822233
Portugal,41,10196707
Paraguay,17,7132530
Angola,0,32866268
Venezuela,15,28435943
Colombia,28,50882884
Bangladesh,0,164689383
Peru,15,32971846
El Salvador,0,6486201
Puerto Rico,9,3194000
Uganda,7,45741000
Honduras,0,9904608
Ecuador,2,17643060
Turkmenistan,0,5851000
Mauritius,1,1265000
Seychelles,0,96762
Czech Republic,644,10708982
Luxembourg,8,625976
Mauritania,0,4649660
Saint Kitts,0,53192
Trinidad,37,1399491
Dominican Republic,7,10847904
Saint Vincent,0,110947
Jamaica,157,2961161
Liberia,0,5057677
Suriname,2,586634
Nepal,1,29136808
Mongolia,26,3278292
Austria,450,9006400
Palau,0,17907
Lithuania,61,2722291
Togo,1,8278737
Namibia,4,2540916
Curacao,1,159849
Iceland,17,341250
American Samoa,0,55465
Samoa,0,196130
Rwanda,0,12952209
Dominica,0,71991
Haiti,7,11402533
Malta,0,441539
Cyprus,1,875899
Guinea,0,13132792
Belize,0,397621
South Korea,638,51640000
Thailand,30,69799978
Bermuda,1,63968
Serbia,539,6804596
Sierra Leone,0,7976985
Papua New Guinea,0,8947027
Oman,0,5106622
Fiji,13,896444
Vanuatu,0,292680
Moldova,8,4033963
Bahamas,40,393248
Guatemala,1,17915567
Mozambique,2,31255435
Central African Rep.,0,4829764
Madagascar,0,27691019
Bosnia and Herzegovina,0,3280815
Guam,0,165768
Cayman Islands,0,64174
Slovakia,47,5459643
Barbados,1,286641
Guinea-Bissau,0,1874000
Timor-Leste,0,1268000
Dem. Rep. Congo,0,84070000
Gabon,1,2119000
San Marino,0,33785
Laos,0,7062000
Botswana,1,2254000
Cambodia,0,16250000
North Korea,67,25550000
Solomon Islands,0,652858
Senegal,1,15850000
Cape Verde,0,543767
Equatorial Guinea,0,1309000
Bolivia,0,11673029
Andorra,0,77265
Antigua,0,97928
Zimbabwe,22,14862927
Grenada,2,112519
Saint Lucia,0,183629
Micronesia,0,112640
Myanmar,0,54409800
Malawi,0,19129955
Zambia,2,18383956
Taiwan,49,23816775
Sao Tome and Principe,0,219161
Macedonia,1,2083380
Tonga,1,103197
Liechtenstein,9,38378
Montenegro,14,622182
Gambia,0,2280000
Cook Islands,0,17459
Albania,0,2862000
Swaziland,0,1136000
Burkina Faso,0,19750000
Burundi,2,11180000
Aruba,0,105845
Nauru,0,12704
Vietnam,4,95540000
Bhutan,0,754394
Marshall Islands,0,58413
Kiribati,0,115847
Kosovo,1,1810000
South Sudan,0,10980000
Lesotho,0,2108000
